JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/cifar10_condition2_heuristics.json
Problem type: classification
Dataset: cifar10
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10/model


############################################################
# Run 1 / 1
############################################################
Loading CIFAR-10 dataset
CIFAR-10 data loaded: 50000 samples

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/250 [00:00<?, ?it/s]
  0%|          | 1/250 [00:58<4:03:52, 58.76s/it]
  1%|          | 2/250 [01:28<2:52:33, 41.75s/it]
  1%|          | 3/250 [02:01<2:36:05, 37.92s/it]
  2%|▏         | 4/250 [02:34<2:26:52, 35.82s/it]
  2%|▏         | 5/250 [03:06<2:21:10, 34.57s/it]
  2%|▏         | 6/250 [03:37<2:14:45, 33.14s/it]
  3%|▎         | 7/250 [04:09<2:12:32, 32.73s/it]
  3%|▎         | 8/250 [04:39<2:08:59, 31.98s/it]
  4%|▎         | 9/250 [05:11<2:07:48, 31.82s/it]
  4%|▍         | 10/250 [05:42<2:07:01, 31.76s/it]
  4%|▍         | 10/250 [06:19<2:07:01, 31.76s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  4%|▍         | 11/250 [06:19<2:13:00, 33.39s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  5%|▍         | 12/250 [06:51<2:10:54, 33.00s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  5%|▌         | 13/250 [07:22<2:07:50, 32.36s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  6%|▌         | 14/250 [07:54<2:07:09, 32.33s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  6%|▌         | 15/250 [08:23<2:01:57, 31.14s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  6%|▋         | 16/250 [08:55<2:03:09, 31.58s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  7%|▋         | 17/250 [09:27<2:03:06, 31.70s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  7%|▋         | 18/250 [10:00<2:03:47, 32.02s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  8%|▊         | 19/250 [10:32<2:03:11, 32.00s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  8%|▊         | 20/250 [11:04<2:02:44, 32.02s/it, CE=1.519829e+00 H=1.513423e+00 dV_dx=-1.989617e-08 dV_dθ=-6.405541e-03 ||∇||=3.101658e+00 | Tr=0.4651 Te/Cur=0.4725 Te/Exp=0.4717]
  8%|▊         | 20/250 [11:40<2:02:44, 32.02s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339] 
  8%|▊         | 21/250 [11:40<2:06:11, 33.06s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
  9%|▉         | 22/250 [12:04<1:55:50, 30.49s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
  9%|▉         | 23/250 [12:36<1:56:36, 30.82s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 10%|▉         | 24/250 [13:07<1:56:29, 30.93s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
 10%|█         | 25/250 [13:37<1:55:08, 30.70s/it, CE=1.328207e+00 H=1.321879e+00 dV_dx=6.698661e-07 dV_dθ=-6.328613e-03 ||∇||=3.136035e+00 | Tr=0.5355 Te/Cur=0.5375 Te/Exp=0.5339]
