JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/mnist_condition2_heuristics.json
Problem type: classification
Dataset: mnist
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/mnist
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/mnist/model


############################################################
# Run 1 / 1
############################################################
Loading MNIST dataset

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/150 [00:00<?, ?it/s]
  1%|          | 1/150 [00:15<38:00, 15.31s/it]
  1%|          | 1/150 [00:20<38:00, 15.31s/it, CE=1.453274e+00 H=1.447420e+00 dV_dx=-5.974362e-07 dV_dθ=-5.853154e-03 ||∇||=1.783387e+00 | Tr=0.7323]
  1%|▏         | 2/150 [00:20<22:55,  9.30s/it, CE=1.453274e+00 H=1.447420e+00 dV_dx=-5.974362e-07 dV_dθ=-5.853154e-03 ||∇||=1.783387e+00 | Tr=0.7323]
  1%|▏         | 2/150 [00:25<22:55,  9.30s/it, CE=8.840557e-01 H=8.781012e-01 dV_dx=-9.143297e-07 dV_dθ=-5.953638e-03 ||∇||=1.808398e+00 | Tr=0.8385]
  2%|▏         | 3/150 [00:25<18:10,  7.42s/it, CE=8.840557e-01 H=8.781012e-01 dV_dx=-9.143297e-07 dV_dθ=-5.953638e-03 ||∇||=1.808398e+00 | Tr=0.8385]
  2%|▏         | 3/150 [00:30<18:10,  7.42s/it, CE=5.939512e-01 H=5.909593e-01 dV_dx=-3.788603e-07 dV_dθ=-2.991500e-03 ||∇||=1.290852e+00 | Tr=0.8702]
  3%|▎         | 4/150 [00:30<15:43,  6.47s/it, CE=5.939512e-01 H=5.909593e-01 dV_dx=-3.788603e-07 dV_dθ=-2.991500e-03 ||∇||=1.290852e+00 | Tr=0.8702]
  3%|▎         | 4/150 [00:35<15:43,  6.47s/it, CE=4.578488e-01 H=4.564331e-01 dV_dx=6.562948e-07 dV_dθ=-1.416308e-03 ||∇||=9.068558e-01 | Tr=0.8882] 
  3%|▎         | 5/150 [00:35<14:28,  5.99s/it, CE=4.578488e-01 H=4.564331e-01 dV_dx=6.562948e-07 dV_dθ=-1.416308e-03 ||∇||=9.068558e-01 | Tr=0.8882]
  3%|▎         | 5/150 [00:40<14:28,  5.99s/it, CE=3.848541e-01 H=3.841066e-01 dV_dx=-1.188033e-06 dV_dθ=-7.462648e-04 ||∇||=6.802741e-01 | Tr=0.8999]
  4%|▍         | 6/150 [00:40<13:26,  5.60s/it, CE=3.848541e-01 H=3.841066e-01 dV_dx=-1.188033e-06 dV_dθ=-7.462648e-04 ||∇||=6.802741e-01 | Tr=0.8999]
  4%|▍         | 6/150 [00:45<13:26,  5.60s/it, CE=3.401371e-01 H=3.396933e-01 dV_dx=-1.171936e-06 dV_dθ=-4.426750e-04 ||∇||=5.470893e-01 | Tr=0.9082]
  5%|▍         | 7/150 [00:45<12:49,  5.38s/it, CE=3.401371e-01 H=3.396933e-01 dV_dx=-1.171936e-06 dV_dθ=-4.426750e-04 ||∇||=5.470893e-01 | Tr=0.9082]
  5%|▍         | 7/150 [00:50<12:49,  5.38s/it, CE=3.089841e-01 H=3.086888e-01 dV_dx=1.468670e-06 dV_dθ=-2.967631e-04 ||∇||=4.694427e-01 | Tr=0.9146] 
  5%|▌         | 8/150 [00:50<12:30,  5.29s/it, CE=3.089841e-01 H=3.086888e-01 dV_dx=1.468670e-06 dV_dθ=-2.967631e-04 ||∇||=4.694427e-01 | Tr=0.9146]
  5%|▌         | 8/150 [00:55<12:30,  5.29s/it, CE=2.850486e-01 H=2.848308e-01 dV_dx=1.804643e-06 dV_dθ=-2.195997e-04 ||∇||=4.227577e-01 | Tr=0.9196]
  6%|▌         | 9/150 [00:55<12:00,  5.11s/it, CE=2.850486e-01 H=2.848308e-01 dV_dx=1.804643e-06 dV_dθ=-2.195997e-04 ||∇||=4.227577e-01 | Tr=0.9196]
  6%|▌         | 9/150 [01:00<12:00,  5.11s/it, CE=2.657125e-01 H=2.655388e-01 dV_dx=6.495061e-07 dV_dθ=-1.743090e-04 ||∇||=3.924750e-01 | Tr=0.9243]
