JAX Backend: gpu
JAX Devices: [cuda(id=0)]

Loaded config from: /home/kraghavan/current/CL_codes/ContLearn/kkt_run/configs/mnist_condition1_baseline.json
Problem type: classification
Dataset: mnist
Tasks: 10
AWB enabled: False


############################################################
# Run 1 / 1
############################################################
Loading MNIST dataset

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:07<1:04:32,  7.76s/it]
  0%|          | 2/500 [00:11<46:13,  5.57s/it]  
  1%|          | 3/500 [00:15<39:45,  4.80s/it]
  1%|          | 4/500 [00:19<36:40,  4.44s/it]
  1%|          | 5/500 [00:23<34:56,  4.23s/it]
  1%|          | 6/500 [00:27<34:26,  4.18s/it]
  1%|▏         | 7/500 [00:31<33:35,  4.09s/it]
  2%|▏         | 8/500 [00:35<33:00,  4.03s/it]
  2%|▏         | 9/500 [00:39<32:34,  3.98s/it]
  2%|▏         | 10/500 [00:43<32:44,  4.01s/it]
  2%|▏         | 10/500 [00:47<32:44,  4.01s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  2%|▏         | 11/500 [00:48<35:52,  4.40s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  2%|▏         | 12/500 [00:52<34:22,  4.23s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  3%|▎         | 13/500 [00:56<33:43,  4.16s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  3%|▎         | 14/500 [01:00<33:05,  4.09s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  3%|▎         | 15/500 [01:04<32:31,  4.02s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  3%|▎         | 16/500 [01:08<32:07,  3.98s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  3%|▎         | 17/500 [01:12<32:16,  4.01s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  4%|▎         | 18/500 [01:16<31:57,  3.98s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  4%|▍         | 19/500 [01:19<31:43,  3.96s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  4%|▍         | 20/500 [01:23<31:29,  3.94s/it, CE=8.627205e-01 H=8.620539e-01 dV_dx=-1.471895e-07 dV_dθ=-6.664477e-04 ||∇||=1.358646e+00 | Tr=0.7005 Te/Cur=0.6922 Te/Exp=0.6996]
  4%|▍         | 20/500 [01:28<31:29,  3.94s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273] 
  4%|▍         | 21/500 [01:28<33:03,  4.14s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  4%|▍         | 22/500 [01:32<32:15,  4.05s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  5%|▍         | 23/500 [01:36<31:37,  3.98s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  5%|▍         | 24/500 [01:39<31:09,  3.93s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  5%|▌         | 25/500 [01:43<31:13,  3.94s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  5%|▌         | 26/500 [01:47<30:50,  3.90s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  5%|▌         | 27/500 [01:51<30:32,  3.88s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  6%|▌         | 28/500 [01:55<30:18,  3.85s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  6%|▌         | 29/500 [01:59<30:39,  3.91s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  6%|▌         | 30/500 [02:03<30:37,  3.91s/it, CE=7.363261e-01 H=7.357521e-01 dV_dx=4.579621e-06 dV_dθ=-5.785894e-04 ||∇||=1.363604e+00 | Tr=0.7415 Te/Cur=0.7336 Te/Exp=0.7273]
  6%|▌         | 30/500 [02:07<30:37,  3.91s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  6%|▌         | 31/500 [02:07<32:00,  4.10s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  6%|▋         | 32/500 [02:11<31:18,  4.01s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  7%|▋         | 33/500 [02:15<31:20,  4.03s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  7%|▋         | 34/500 [02:19<30:58,  3.99s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  7%|▋         | 35/500 [02:23<30:40,  3.96s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  7%|▋         | 36/500 [02:27<30:27,  3.94s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  7%|▋         | 37/500 [02:31<30:39,  3.97s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  8%|▊         | 38/500 [02:35<30:24,  3.95s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  8%|▊         | 39/500 [02:39<30:12,  3.93s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  8%|▊         | 40/500 [02:43<30:24,  3.97s/it, CE=6.695433e-01 H=6.690806e-01 dV_dx=9.167592e-06 dV_dθ=-4.718861e-04 ||∇||=1.411109e+00 | Tr=0.7634 Te/Cur=0.7492 Te/Exp=0.7559]
  8%|▊         | 40/500 [02:47<30:24,  3.97s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  8%|▊         | 41/500 [02:47<31:23,  4.10s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  8%|▊         | 42/500 [02:51<30:53,  4.05s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  9%|▊         | 43/500 [02:55<30:31,  4.01s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  9%|▉         | 44/500 [02:59<30:36,  4.03s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  9%|▉         | 45/500 [03:03<30:16,  3.99s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  9%|▉         | 46/500 [03:07<29:53,  3.95s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
  9%|▉         | 47/500 [03:11<29:34,  3.92s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
 10%|▉         | 48/500 [03:15<29:44,  3.95s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
 10%|▉         | 49/500 [03:19<29:26,  3.92s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
 10%|█         | 50/500 [03:22<29:12,  3.89s/it, CE=6.262600e-01 H=6.257022e-01 dV_dx=1.149335e-05 dV_dθ=-5.693341e-04 ||∇||=1.465750e+00 | Tr=0.7775 Te/Cur=0.7648 Te/Exp=0.7777]
