JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: runs__/configs/mnist_condition4_awb_full.json
Problem type: classification
Dataset: mnist
Tasks: 10
AWB enabled: True


############################################################
# Run 1 / 1
############################################################
Loading MNIST dataset

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/150 [00:00<?, ?it/s]
  1%|          | 1/150 [00:18<45:18, 18.25s/it]
  1%|          | 1/150 [00:23<45:18, 18.25s/it, CE=2.071866e+00 H=2.071450e+00 dV_dx=-1.087539e-07 dV_dθ=-4.156762e-04 ||∇||=4.476354e-01 | Tr=0.4034]
  1%|▏         | 2/150 [00:23<25:51, 10.48s/it, CE=2.071866e+00 H=2.071450e+00 dV_dx=-1.087539e-07 dV_dθ=-4.156762e-04 ||∇||=4.476354e-01 | Tr=0.4034]
  1%|▏         | 2/150 [00:28<25:51, 10.48s/it, CE=1.863964e+00 H=1.863158e+00 dV_dx=-8.091966e-07 dV_dθ=-8.056873e-04 ||∇||=6.196040e-01 | Tr=0.4828]
  2%|▏         | 3/150 [00:28<19:43,  8.05s/it, CE=1.863964e+00 H=1.863158e+00 dV_dx=-8.091966e-07 dV_dθ=-8.056873e-04 ||∇||=6.196040e-01 | Tr=0.4828]
  2%|▏         | 3/150 [00:33<19:43,  8.05s/it, CE=1.649794e+00 H=1.648767e+00 dV_dx=-2.026077e-07 dV_dθ=-1.027069e-03 ||∇||=7.040940e-01 | Tr=0.5264]
  3%|▎         | 4/150 [00:33<16:34,  6.81s/it, CE=1.649794e+00 H=1.648767e+00 dV_dx=-2.026077e-07 dV_dθ=-1.027069e-03 ||∇||=7.040940e-01 | Tr=0.5264]
  3%|▎         | 4/150 [00:38<16:34,  6.81s/it, CE=1.471013e+00 H=1.470009e+00 dV_dx=-3.975360e-08 dV_dθ=-1.003405e-03 ||∇||=7.043063e-01 | Tr=0.5577]
  3%|▎         | 5/150 [00:38<14:51,  6.15s/it, CE=1.471013e+00 H=1.470009e+00 dV_dx=-3.975360e-08 dV_dθ=-1.003405e-03 ||∇||=7.043063e-01 | Tr=0.5577]
  3%|▎         | 5/150 [00:43<14:51,  6.15s/it, CE=1.333675e+00 H=1.332805e+00 dV_dx=3.939677e-07 dV_dθ=-8.706393e-04 ||∇||=6.679268e-01 | Tr=0.5861] 
  4%|▍         | 6/150 [00:43<14:00,  5.84s/it, CE=1.333675e+00 H=1.332805e+00 dV_dx=3.939677e-07 dV_dθ=-8.706393e-04 ||∇||=6.679268e-01 | Tr=0.5861]
  4%|▍         | 6/150 [00:48<14:00,  5.84s/it, CE=1.229498e+00 H=1.228761e+00 dV_dx=1.274460e-07 dV_dθ=-7.367987e-04 ||∇||=6.274127e-01 | Tr=0.6091]
  5%|▍         | 7/150 [00:48<12:58,  5.45s/it, CE=1.229498e+00 H=1.228761e+00 dV_dx=1.274460e-07 dV_dθ=-7.367987e-04 ||∇||=6.274127e-01 | Tr=0.6091]
  5%|▍         | 7/150 [00:52<12:58,  5.45s/it, CE=1.152617e+00 H=1.151995e+00 dV_dx=-9.100867e-07 dV_dθ=-6.214193e-04 ||∇||=5.901511e-01 | Tr=0.6279]
  5%|▌         | 8/150 [00:52<12:07,  5.12s/it, CE=1.152617e+00 H=1.151995e+00 dV_dx=-9.100867e-07 dV_dθ=-6.214193e-04 ||∇||=5.901511e-01 | Tr=0.6279]
  5%|▌         | 8/150 [00:56<12:07,  5.12s/it, CE=1.093626e+00 H=1.093090e+00 dV_dx=-7.711444e-07 dV_dθ=-5.349099e-04 ||∇||=5.616345e-01 | Tr=0.6441]
  6%|▌         | 9/150 [00:56<11:25,  4.86s/it, CE=1.093626e+00 H=1.093090e+00 dV_dx=-7.711444e-07 dV_dθ=-5.349099e-04 ||∇||=5.616345e-01 | Tr=0.6441]
  6%|▌         | 9/150 [01:01<11:25,  4.86s/it, CE=1.046734e+00 H=1.046256e+00 dV_dx=-2.060398e-06 dV_dθ=-4.764413e-04 ||∇||=5.423425e-01 | Tr=0.6571]
  7%|▋         | 10/150 [01:01<11:16,  4.83s/it, CE=1.046734e+00 H=1.046256e+00 dV_dx=-2.060398e-06 dV_dθ=-4.764413e-04 ||∇||=5.423425e-01 | Tr=0.6571]
  7%|▋         | 10/150 [01:06<11:16,  4.83s/it, CE=1.008284e+00 H=1.007858e+00 dV_dx=5.574411e-07 dV_dθ=-4.273952e-04 ||∇||=5.263900e-01 | Tr=0.6691] 
  7%|▋         | 11/150 [01:06<10:50,  4.68s/it, CE=1.008284e+00 H=1.007858e+00 dV_dx=5.574411e-07 dV_dθ=-4.273952e-04 ||∇||=5.263900e-01 | Tr=0.6691]
  7%|▋         | 11/150 [01:10<10:50,  4.68s/it, CE=9.760457e-01 H=9.756509e-01 dV_dx=3.302980e-07 dV_dθ=-3.950613e-04 ||∇||=5.164129e-01 | Tr=0.6799]
  8%|▊         | 12/150 [01:10<10:30,  4.57s/it, CE=9.760457e-01 H=9.756509e-01 dV_dx=3.302980e-07 dV_dθ=-3.950613e-04 ||∇||=5.164129e-01 | Tr=0.6799]
  8%|▊         | 12/150 [01:14<10:30,  4.57s/it, CE=9.481049e-01 H=9.477289e-01 dV_dx=-7.527757e-07 dV_dθ=-3.752245e-04 ||∇||=5.113867e-01 | Tr=0.6887]
  9%|▊         | 13/150 [01:14<10:14,  4.48s/it, CE=9.481049e-01 H=9.477289e-01 dV_dx=-7.527757e-07 dV_dθ=-3.752245e-04 ||∇||=5.113867e-01 | Tr=0.6887]
  9%|▊         | 13/150 [01:18<10:14,  4.48s/it, CE=9.233725e-01 H=9.230126e-01 dV_dx=1.508064e-07 dV_dθ=-3.599818e-04 ||∇||=5.088603e-01 | Tr=0.6965] 
  9%|▉         | 14/150 [01:18<10:01,  4.43s/it, CE=9.233725e-01 H=9.230126e-01 dV_dx=1.508064e-07 dV_dθ=-3.599818e-04 ||∇||=5.088603e-01 | Tr=0.6965]
  9%|▉         | 14/150 [01:23<10:01,  4.43s/it, CE=9.009780e-01 H=9.006223e-01 dV_dx=-3.514613e-06 dV_dθ=-3.521844e-04 ||∇||=5.090859e-01 | Tr=0.7021]
